"Layer","Designator","Center-Y(mm)","Center-X(mm)","Comment","Footprint","Rotation","Description"
"TopLayer","R89","39.6850","69.0750","100 kOhm","Resistor,_0603_Imperial_(1608_Metric)","90","100 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
"TopLayer","R90","39.6850","70.3250","100 kOhm","Resistor,_0603_Imperial_(1608_Metric)","90","100 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
"TopLayer","R91","37.4250","49.2750","0 Ohm","Resistor,_0603_Imperial_(1608_Metric)","0","0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
"TopLayer","R92","35.9000","49.2750","0 Ohm","Resistor,_0603_Imperial_(1608_Metric)","0","0 Ohm resistor, 63 mW, 0603 Imperial (1608 Metric)"
"TopLayer","Screw1","90.0000","5.0000","M2","PCB_Feature,__Screw_hole,_M2,_threaded_insert","0","PCB hole for screw that is mounted in a threaded insert"
"TopLayer","Screw2","90.0000","145.0000","M2","PCB_Feature,__Screw_hole,_M2,_threaded_insert","90","PCB hole for screw that is mounted in a threaded insert"
"TopLayer","Screw3","5.1500","144.7750","M2","PCB_Feature,__Screw_hole,_M2,_threaded_insert","90","PCB hole for screw that is mounted in a threaded insert"
"TopLayer","Screw4","5.1500","5.7500","M2","PCB_Feature,__Screw_hole,_M2,_threaded_insert","90","PCB hole for screw that is mounted in a threaded insert"
"TopLayer","SW1","31.7000","60.0000","White","Switch,_W�rth_Elektronik,_435451019820","180","Tactile Switch, SPST-NO, Top Actuated Surface Mount, 0.05A, 32V"
"TopLayer","SW2","41.7000","60.0000","White","Switch,_W�rth_Elektronik,_435451019820","180","Tactile Switch, SPST-NO, Top Actuated Surface Mount, 0.05A, 32V"
"TopLayer","SW3","21.7000","60.0000","Black","Switch,_W�rth_Elektronik,_435451019820","180","Tactile Switch, SPST-NO, Top Actuated Surface Mount, 0.05A, 32V"
"TopLayer","SW4","11.7000","60.0000","Black","Switch,_W�rth_Elektronik,_435451019820","180","Tactile Switch, SPST-NO, Top Actuated Surface Mount, 0.05A, 32V"
"TopLayer","SW5","40.0000","120.0000","","Switch,_C&K_,_RM104772BCB","0","SWITCH ROTARY 4POS 500MA 24V"
"TopLayer","SW6","15.0000","120.0000","","Switch,_C&K_,_RM104772BCB","0","SWITCH ROTARY 4POS 500MA 24V"
"TopLayer","TP1","50.8000","129.5400","1 mm","PCB_Feature,_Testpoint,_1_mm","270","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP2","48.2600","137.1600","1 mm","PCB_Feature,_Testpoint,_1_mm","0","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP3","53.3400","5.0800","1 mm","PCB_Feature,_Testpoint,_1_mm","0","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP4","45.3750","107.1250","1 mm","PCB_Feature,_Testpoint,_1_mm","0","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP5","50.8000","5.0800","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP6","10.1600","114.3000","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP7","43.1800","139.7000","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP8","38.1000","142.2400","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP9","48.2600","114.3000","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP10","40.6400","96.5200","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP11","22.8600","134.6200","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP12","12.7000","134.6200","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP13","17.7800","134.6200","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP14","15.2400","134.6200","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP15","20.3200","134.6200","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP16","55.8800","68.5800","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP17","45.8000","17.6000","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP19","55.8800","66.0400","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP20","53.3400","66.0400","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP21","53.3400","63.5000","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","TP22","53.3400","30.4800","1 mm","PCB_Feature,_Testpoint,_1_mm","90","PCB Testpad used for manufacturer tests and programming."
"TopLayer","XTAL1","27.7500","27.6250","16 MHz","Crystal,__Abracon_LLC,_ABM8G-16.000MHZ-4Y-T3","0","16 MHz �30ppm Crystal 10pF 80 Ohms 4-SMD, No Lead"
