"Layer","Designator","Center-Y(mm)","Center-X(mm)","Comment","Footprint","Rotation","Description"
"TopLayer","Q1","59.3000","58.1750","NPN","Transistor,_NPN,_BC847xW","270","BC847xW series, 45 V, 100 mA NPN general-purpose transistors, hFe 290, 200 mW, SOT323 package"
"TopLayer","R1","55.7500","139.3001","0 Ohm","Resistor,_0402_Imperial_(1005_Metric)","180","0 Ohm resistor, 63 mW, 0402 Imperial (1005 Metric)"
"TopLayer","R2","54.7550","139.3121","0 Ohm","Resistor,_0402_Imperial_(1005_Metric)","180","0 Ohm resistor, 63 mW, 0402 Imperial (1005 Metric)"
"TopLayer","R3","56.7500","139.3000","5.1 kOhm","Resistor,_0402_Imperial_(1005_Metric)","0","5.1 kOhm resistor, 63 mW, 0402 Imperial (1005 Metric)"
"TopLayer","R4","53.7500","139.3000","5.1 kOhm","Resistor,_0402_Imperial_(1005_Metric)","0","5.1 kOhm resistor, 63 mW, 0402 Imperial (1005 Metric)"
"TopLayer","R5","41.2500","11.0000","22 Ohm","Resistor,_0402_Imperial_(1005_Metric)","0","22 Ohm resistor, 63 mW, 0402 Imperial (1005 Metric)"
"TopLayer","R6","42.2250","11.0000","22 Ohm","Resistor,_0402_Imperial_(1005_Metric)","0","22 Ohm resistor, 63 mW, 0402 Imperial (1005 Metric)"
"TopLayer","R7","40.2500","11.0000","5.1 kOhm","Resistor,_0402_Imperial_(1005_Metric)","180","5.1 kOhm resistor, 63 mW, 0402 Imperial (1005 Metric)"
"TopLayer","R8","43.2500","11.0000","5.1 kOhm","Resistor,_0402_Imperial_(1005_Metric)","180","5.1 kOhm resistor, 63 mW, 0402 Imperial (1005 Metric)"
"TopLayer","R13","34.9500","39.9750","100 kOhm","Resistor,_0603_Imperial_(1608_Metric)","180","100 kOhm resistor, 50 mW, 0603 Imperial (1608 Metric)"
